name,link,year,country,rating,scoreCount,category,description
Всё везде и сразу,/film/1322324/,2021,США,7.3,302 154,Лучшие фильмы-2022 по версии редакции,"В жизни Эвелин царит бардак. Она никак не может составить налоговый отчёт, пожилой отец постоянно требует внимания, муж витает в облаках, а ещё и дочка привела свою девушку знакомиться с семьёй. Во время визита в налоговую всё запутывается ещё сильнее — оказывается, Эвелин может скакать по параллельным вселенным и получать доступ к воспоминаниям и навыкам других версий самой себя. И теперь, в полнейшем хаосе, женщине придётся противостоять загадочной злой сущности, которая решила разрушить не только этот мир, но и всю мультивселенную."
Сядь за руль моей машины,/film/4382259/,2021,Япония,7.3,26 331,Лучшие фильмы-2022 по версии редакции,"Режиссёра Юсукэ приглашают поставить «Дядю Ваню» для театрального фестиваля в Хиросиме. По условиям договора он не может сам водить машину, поэтому ему предоставляют девушку-водителя — молчаливую Мисаки. Проводя вместе по несколько часов в день, Юсукэ начинает переосмыслять свои отношения с женой, с которой они жили, казалось, в счастливом браке до её внезапной смерти два года назад. А Мисаки пытается разобраться с собственным непростым прошлым."
Лакричная пицца,/film/1320623/,2021,США,7.1,44 768,Лучшие фильмы-2022 по версии редакции,"1973 год, долина Сан-Фернандо. Гэри всего 15 лет, но он уже достаточно смел и обладает сильным деловым чутьем. Беспечной Алане 25, она не занята ничем серьёзным и многого от будущего не ждёт. Влюбившись в девушку с первого взгляда, Гэри изо всех сил старается стать её бойфрендом и постоянно втягивает Алану в свою разнообразную деятельность."
Решение уйти,/film/1435399/,2022,Корея Южная,7.1,24 577,Лучшие фильмы-2022 по версии редакции,"Детектив расследует смерть мужчины, упавшего со скалы. Вдова покойного сотрудничает со следствием, но чем дальше продвигается дело, тем больше детектив её подозревает и тем сильнее влюбляется."
Камон Камон,/film/1309501/,2021,США,7.6,19 975,Лучшие фильмы-2022 по версии редакции,Радиожурналист вместе с маленьким племянником отправляется в путешествие через всю страну.
Нет,/film/1447137/,2022,США,6.3,27 373,Лучшие фильмы-2022 по версии редакции,"Через полгода после смерти отца в результате нелепого несчастного случая брат с сестрой, Оджей и Эмеральд, пытаются удержать на плаву семейный бизнес — ранчо с лошадьми для съёмок в кино и рекламе. Дела идут из рук вон плохо, часть животных пришлось продать, и Оджей уже подумывает избавиться и от ранчо, когда вдруг замечает в окрестностях НЛО. Ребята видят в этом возможность заработка и решают заснять его любой ценой."
Три тысячи лет желаний,/film/1209527/,2022,Австралия,7.3,244 885,Лучшие фильмы-2022 по версии редакции,
Блондинка,/film/525530/,2022,США,6.1,16 560,Лучшие фильмы-2022 по версии редакции,"В те редкие часы, когда сбрендившая мама не пыталась сжечь или утопить маленькую Норму Джин, она рассказывала дочке, что её отец — голливудская знаменитость и богач, который временно не может принимать участие в их жизни. Маму посадили в сумасшедший дом, Норма Джин выросла, взяла псевдоним Мэрилин Монро, но даже когда стала самой популярной блондинкой Голливуда и секс-символом 1950-х, всё равно продолжала поиски анонимного отца."
На Западном фронте без перемен,/film/316376/,2022,Германия,7.6,34 080,Лучшие фильмы-2022 по версии редакции,"Германская империя, 1917 год. Преисполненные патриотизмом 19-летний Пауль Боймер и его друзья-одноклассники отправляются добровольцами на фронт, где им предстоит испытать на себе ужасы Первой мировой войны."
RRR: Рядом ревёт революция,/film/1115117/,2022,Индия,8.0,74 063,Лучшие фильмы-2022 по версии редакции,"Британская Индия. Рама — преданный полицейский на службе у колониального правительства, способный расправиться с толпой в одиночку, и местные считают его предателем. Бхим — парень из племени гондов, который вынужден отправиться в Дели на поиски похищенной губернатором маленькой соплеменницы. Узнав об этом, губернатор объявляет награду за его поимку, и, чтобы продвинуться по службе, Рама берётся за это задание. Спасая упавшего в реку мальчика, Рама и Бхим становятся друзьями. Они не знают ни настоящих личностей, ни скрытых мотивов друг друга, но это знакомство положит начало большим переменам."
Преступления будущего,/film/4440349/,2022,Канада,5.7,18 097,Лучшие фильмы-2022 по версии редакции,"Недалекое будущее. У людей появился синдром ускоренной эволюции, из-за которого с телом начинают происходить удивительные изменения — люди почти перестали чувствовать боль. В погоне за запретными ощущениями и запредельными удовольствиями загадочная организация проводит эксперименты на себе подобных. Одни принимают новую реальность, а другие пытаются бороться с ней любыми возможными способами."
Топ Ган: Мэверик,/film/572032/,2022,США,7.8,80 576,Лучшие фильмы-2022 по версии редакции,
Главная роль,/film/1344821/,2021,Испания,7.1,64 244,Лучшие фильмы-2022 по версии редакции,
Быстрее пули,/film/1392550/,2022,США,7.7,118 553,Лучшие фильмы-2022 по версии редакции,"Наёмник под кодовым именем Божья Коровка отправляется на новую миссию: вместо заболевшего коллеги он должен сесть в скоростной поезд Токио — Киото, выкрасть чемоданчик и сойти на промежуточной станции. Но выполнение простого задания сильно осложняется, когда выясняется, что состав просто кишит всевозможными киллерами."
Продукты 24,/film/1311130/,2022,Россия,6.1,5 237,Лучшие фильмы-2022 по версии редакции,"Мухаббат живет и работает в продуктовом магазине на окраине Москвы. Таких магазинов много в спальных районах Москвы — крошечные помещения, спрятанные в подвалах бетонных многоэтажек. Большинство работающих там людей — мигранты. Как многие из них, Мухаббат находится в рабстве. У нее нет денег и документов, ей некуда бежать. 
Преодолевая отчаяние и страх, Мухаббат вырывается на свободу. Но чтобы вернуть самое дорогое, что у нее есть, ей предстоит пройти долгий путь, полный боли, компромиссов и потерь."
Солнце моё,/film/4948281/,2022,Великобритания,7.3,2 514,Лучшие фильмы-2022 по версии редакции,"Софи вспоминает каникулы у моря, которые она провела со своим отцом двадцать лет назад, когда ей было 13. История взросления, сложные для подростка отношений с разведенным отцом, первый бунт, первая любовь и бесконечное счастье."
Чип и Дейл спешат на помощь,/film/840266/,2022,США,6.7,22 619,Лучшие фильмы-2022 по версии редакции,
Варвар,/film/4749790/,2022,США,6.6,20 542,Лучшие фильмы-2022 по версии редакции,
Падение Луны,/film/988816/,2022,США,5.4,56 813,Лучшие фильмы-2022 по версии редакции,"В 2011 году во время рядового ремонта спутника на находившихся в открытом космосе астронавтов напал странный рой, вылетевший из лунного кратера. Один космонавт погиб, а второй — Брайан Харпер — несколько лет после происшествия пытался убедить НАСА, что в случившемся виноват необъяснимый феномен. 
10 лет спустя Луна внезапно сходит с орбиты и идёт на столкновение с Землёй, что провоцирует множественные катаклизмы и грозит гибелью человечества. Астроном-самородок, первым заметивший данную аномалию и считающий, что Луна является мегаструктурой, безуспешно пытается достучаться до правительства, поэтому просит помощи у вышедшего в отставку Харпера."
Худший человек на свете,/film/4479538/,2021,Норвегия,7.4,18 067,Лучшие фильмы-2022 по версии редакции,"Юная студентка Юлия из хорошей норвежской семьи начинает взрослую жизнь, думая, что станет врачом. Её главные черты — беспокойство и рефлексия. Ни одно событие и переживание Юлия не оставляет просто так, ставит под сомнение собственные и чужие ценности и живёт в постоянном внутреннем конфликте. После первых месяцев учёбы она решает, что психология ей куда ближе, чем медицина — а потом увлекается писательством, фотографией и книжным делом. Фильм разбит на 12 последовательных глав: Юлия меняет профессии и возлюбленных, переживает длительные отношения и лёгкие увлечения, приспосабливается к новым обстоятельствам и открывает разные стороны своей личности."
Чёрная Пантера: Ваканда навеки,/film/1199773/,2022,США,6.7,35 627,Лучшие фильмы-2022 по версии редакции,"После смерти короля Т`Чаллы королева Рамонда, Шури, М`Баку, Окойе и Дора Милаж сражаются, чтобы защитить Ваканду от мировых держав."
Экспресс,/film/2000127/,2022,Россия,6.5,2 723,Лучшие фильмы-2022 по версии редакции,"Саша Сосланов никогда не унывает. Даже когда его выгоняют из университета, а красавица Нина уезжает в Москву, парень идет в букмекерскую контору и на последнюю тысячу рублей делает отчаянную ставку из нескольких событий — «экспресс». Но в тот же вечер он теряет карточку для получения выигрыша. У Саши есть трое суток, чтобы найти «экспресс» на миллион и не упустить свой шанс на новую жизнь."
Банши Инишерина,/film/1354524/,2022,Ирландия,7.6,26 379,Лучшие фильмы-2022 по версии редакции,"История двух друзей, которые вступают в конфликт на отдалённом ирландском острове."
Оторви и выбрось,/film/1251147/,2021,Россия,6.4,24 454,Лучшие фильмы-2022 по версии редакции,"От любящей родни не уйдешь. Суровая Вера Павловна отправляется в лихую погоню за своей внучкой Машей и непутёвой дочерью Олей. Помогает ей в этом Олег — все еще влюбленный в Олю «бывший», даже после того, как посадил за решетку. Кажется, во всей этой уморительной суматохе только маленькая Маша знает, как взрослым не слететь с катушек."
После Янга,/film/1261977/,2021,США,6.5,1 794,Лучшие фильмы-2022 по версии редакции,"В недалёком будущем отец с дочерью пытаются спасти своего домашнего робота Янга, ставшего частью семьи, после того как тот перестал работать."
Моя пиратская свадьба,/film/1446792/,2022,США,,,Цифровые релизы,"Дарси и Том готовятся к роскошной свадьбе на острове. Им немного досаждают мама жениха и бывший невесты. Но вскоре пара поймёт, что это были лишь мелочи: прямо на церемонию врываются пираты и берут гостей в заложники. Дарси и Тому предстоит всех спасти."
Чебурашка. История новогоднего чуда,/series/5248437/,2023,Россия,,,Цифровые релизы,Секреты производства самого кассового фильма в истории российского проката — «Чебурашки» — от лица его создателей.
Терапия,/series/4675392/,2023,США,,,Цифровые релизы,"Терапевт Джимми после личной трагедии начинает говорить своим пациентам то, что на самом деле о них думает. Неожиданным образом его резкие комментарии меняют не только их жизни, но и его собственную."
Идеальная семья,/film/1056136/,2018,Италия,6.3,335,Цифровые релизы,"Большая семья встречается на роскошной вилле на удаленном острове, чтобы отпраздновать 50-летнюю годовщину свадьбы бабушки и дедушки. Праздник неожиданно затягивается: из-за погодных условий никто из гостей не может покинуть остров. Вот тогда-то наружу выплывает масса секретов, которые грозят взорвать семейную идиллию."
Двойной обман Мадлен Коллинз,/film/1328419/,2021,Франция,5.9,828,Цифровые релизы,"Она живет на две страны, у нее два имени, два любовника, два сына во Франции и дочь в Швейцарии. Из-за роковой случайности часть тайного становится явным. Запутавшись в паутине лжи, она рискует не только своей жизнью."
Наша зима,/film/5104424/,2022,Россия,,,Цифровые релизы,"После десяти лет брака муж и жена решают развестись. Раздел имущества и сам процесс развода у них проходит без скандалов. Они оба понимают, что развод — единственный выход из растянувшегося неудачного брака, где каждый из них считает, что не в полной мере реализовал свои возможности и тяжелое решение даст толчок к новой жизни и забытым мечтам. Но только после развода они понимают, что все это была лишь иллюзия и на самом деле проблема была не в браке."
Цена ошибки,/film/4479183/,2021,Италия,,,Цифровые релизы,После судебного разбирательства и обвинения в незаконной торговле вирусами известный учёный Илария Капуа столкнулась с масштабной травлей со стороны общественности и прессы. Лишь спустя долгие годы суд выносит оправдательное решение. Что это было — жестокая ошибка или несовершенство правовой системы?
Зона X,/film/872578/,2015,Дания,,585,Цифровые релизы,"Спокойная семейная жизнь Йоханссенов заканчивается, когда в пригороде Копенгагена Соргенфри вспыхивает эпидемия неизвестной болезни, превращающей людей в ходячих мертвецов. Пернилла и Дино, а также их сын Густаф и дочь Май оказываются вместе с остальными жителями в карантинной зоне."
Nate Bargatze: Hello World,/film/5235969/,2023,США,,,Цифровые релизы,
Детектив Конан: Преступник Ханадзава,/series/5246988/,2022,Япония,,,Цифровые релизы,
Мертвы и мажоры,/film/1283716/,2021,Нидерланды,,,Цифровые релизы,"У этих ребят было всё: шмотки, тачки, квартиры, власть и всеобщее обожание. Но чем больше они получали, тем скучнее им становилось. Однажды молодые и богатые понимают, что кто-то наслал на них проклятие и теперь все они — вампиры. Вот только свою новую участь они расценивают как очередную привилегию."
Полицейская история: В осаде,/film/731079/,2013,Китай,6.2,6 112,Цифровые релизы,"Посетители ночного клуба оказываются взятыми в заложники. Среди посетителей есть офицер полиции Вэнь Чжун и его непослушная дочь Мяомяо. Человек, удерживающий всех в заложниках — владелец клуба, который таким образом пытается добиться освобождения из тюрьмы одного преступника."
Игра в иллюзию,/film/4511069/,2022,США,,,Цифровые релизы,
Сделай мой день,/series/4977381/,2023,Япония,,,Цифровые релизы,
Комплекс бога,/series/4974490/,2022,Россия,,,Цифровые релизы,"В городе пропадает маленькая дочь известного пианиста Константина Зобнина, а следом находят тело другой исчезнувшей девочки. В это же время успешный бизнесмен, одержимый навязчивыми желаниями, обращается за помощью к талантливому психиатру Алексею, который будет вынужден вести собственное расследование параллельно с официальным."
Класс,/series/5117976/,2023,Индия,,,Цифровые релизы,
Dear Edward,/series/4845542/,2023,США,,,Цифровые релизы,
Вздох,/film/272616/,2007,Корея Южная,7.4,4 907,Цифровые релизы,"Раздавленная изменой мужа Ён вспоминает, как видела репортаж о заключённом, пытавшемся покончить с собой. Она добивается встречи с ним — так начинается их мучительный и страстный роман, который станет последним вдохом для одного и началом новой жизни для другой."
Незавершённое дело,/film/4546958/,2022,Испания,,,Цифровые релизы,"После перевода в другой город инспектору полиции Мануэлю поручают расследование очередного уголовного дела: обнаружен труп девушки. Но чем дальше продвигается работа по выяснению обстоятельств этой трагедии, тем яснее Мануэль осознает, что в этом деле всё не так очевидно и однозначно, как казалось на первый взгляд."
Legion of Super-Heroes,/film/5138517/,2023,США,,,Цифровые релизы,
Раневская,/series/788277/,2021,Россия,,,Цифровые релизы,
Фишер,/series/4443734/,2022,Россия,,,Цифровые релизы,
Битва шефов,/film/4422193/,2022,Испания,,,Цифровые релизы,"Молодой и амбициозный шеф-повар Микель мечтает о своей третьей звезде Мишлен и усердно работает для достижения этой цели. Но однажды в его жизнь возвращается отец — некогда знаменитый мастер кулинарии, бесследно пропавший 30 лет назад."
Девятка,/film/959958/,2020,США,,,Цифровые релизы,"Кэл — авантюрист и профессиональный игрок в бильярд — зарабатывает тем, что обыгрывает новичков в барах, которые пришли туда в поисках легких денег. Но однажды он внезапно исчезает. Его сын Даллас отправляется на поиски отца. Судьба сталкивает парня с Джо, странным одиночкой, который, возможно, как-то связан с его отцом."
Иван Царевич и Серый Волк 5,/film/5101781/,2022,Россия,5.9,3 425,Цифровые релизы,"Была у Ивана с Василисой не жизнь, а сказка. Буквально. И эту сказку они уже знали, а им захотелось отправиться туда-не-знаю-когда. Вот только одна бабочка со своим эффектом крылышком махнула да устроила волшебную перезагрузку. Теперь во всем Тридевятом царстве никто не помнит даже как Ивана звать, включая саму Василису. А значит, чтобы снова добиться принцессы, Ивану с Серым Волком нужно перевернуть всю мультик-вселенную."
Каспер. Легенда возвращается,/film/4293213/,2022,США,,,Цифровые релизы,"Элизабет и ее отец отправляются разгадать секреты загадочного поместья Эховилль. По прибытии на место они знакомятся с самым добрым в мире привидением, которое обитает в стенах замка уже полвека. Теперь их ждут новые приключения и битва со злым драконом-призраком Юто."
Любовное сражение,/series/4707576/,2023,Корея Южная,,,Цифровые релизы,"История отношений мужчины и женщины, которые не хотят уступать друг другу ни в чём."
Farzi,/series/5245003/,2023,Индия,,,Цифровые релизы,
"Кто-то, кого я знал",/film/4541462/,2023,США,,,Цифровые релизы,
Хоккей навсегда,/film/1269654/,2020,Чехия,,,Цифровые релизы,"Семья 16-летнего Давида переезжает в Злин, где подросток присоединяется к новой хоккейной команде «Волки». Парень твердо намерен добиться успеха, но в команде уже есть вратарь, Мики, который не собирается уступать свою позицию. Команда настроена к новичку недружелюбно. Капитан Джерри и его приятели ведут себя, как им заблагорассудится, а остальные подчиняются законам стаи. У Давида диабет, но здесь не терпят никаких проявлений слабости. Ставший изгоем Давид пытается справиться с травлей, но издевательства лишь набирают обороты."
Женщина нашего времени,/film/4439802/,2022,Франция,,,Цифровые релизы,
Шаляпин,/series/4713046/,2022,Россия,,,Цифровые релизы,"История Фёдора Шаляпина — человека, который вырос в крестьянской семье, но смог ворваться в блистательный мир театра и завоевал высоты, которых прежде никто не достигал. Он обрел любовь миллионов, но смог ли сам добиться личного счастья и сделать выбор между двумя любимыми женщинами? О том, как сила характера и таланта может вознести человека к звездам и дать возможность просиять на весь мир."
Untouchable,/film/1426537/,2021,США,,,Цифровые релизы,
В поисках тела,/film/5001240/,2022,Япония,,,Цифровые релизы,"Обычная старшеклассница и её друзья оказываются заложниками мстительного призрака в красном. Ребятам нужно отыскать в школе части тела к определенной дате, иначе злобное привидение появится снова и начнет их убивать."
Содержанки 4,/series/5020999/,2022,Россия,,,Цифровые релизы,
Молодость,/film/5074901/,2022,Россия,7.2,374,Цифровые релизы,"В поисках счастья и друзей обаятельный неудачник Вася возвращается из города в родное село. Вот только бывшие одноклассники давно повзрослели: у них дети, работа и все по правилам. Каким будет его возвращение в беспечную молодость?"
Клипмейкеры,/film/4534033/,2022,Россия,6.2,1 630,Цифровые релизы,"Молодой московский клипмейкер Гриша прокладывает путь к славе через лихие девяностые — в эпоху беспечных вечеринок, бандитских стрелок и тяжких телесных повреждений. Его друзья — лучшие клипмейкеры страны, его клиенты — главные ее звезды. Одна лихая авантюра следует за другой — ребятам везет. И, кажется, что все только начинается."
Опасный город,/film/1419628/,2021,Италия,,,Цифровые релизы,
Переулок Мучениц,/film/1309511/,2021,Великобритания,,332,Цифровые релизы,"Десятилетняя Лия — дочь священника. Вместе с семьей она живет при церкви. В ближайшем лесу Лия встречает странную девочку, которая предлагает ей дружить. Новая гостья приходит только по ночам и, похоже, кроме Леи ее никто не видит."
Антология русского хоррора: Красный состав,/series/5144175/,2023,Россия,,,Цифровые релизы,"Антология из шести страшных историй, созданных разными режиссерами в разных анимационных техниках."
Украденная личность,/film/4492566/,2023,Корея Южная,,,Цифровые релизы,
Аферисты,/film/4383102/,2023,США,,,Цифровые релизы,"Мошенница, обманывающая миллионеров с Манхэттена, встречает авантюриста, который зарабатывает на аферах с хитрыми схемами."
"Здравствуй, будущее!",/series/4924735/,2023,США,,,Цифровые релизы,
Тропа смерти,/film/4626733/,2021,США,,,Цифровые релизы,
Белль и Себастьян: Новое поколение,/film/4745703/,2022,Франция,,,Цифровые релизы,"Себастьяну 10 лет. Его отправляют в горную деревню к бабушке, но это совсем не похоже на каникулы мечты. Но все меняется, когда он встречает Белль — огромную белую собаку, с которой плохо обращался хозяин. Они становится настоящими друзьями, и Себастьян готов на все, чтобы защитить Белль. Он даже не подозревает, что его ждут самые захватывающие каникулы в жизни."
Черная метка,/film/4477457/,2022,США,,,Цифровые релизы,
Беспощадные киллеры,/film/1214412/,2022,Италия,,,Цифровые релизы,"Серджио — бывший наёмный убийца, который открыл собственный бар, чтобы начать всё с чистого листа. Новая жизнь ему нравится гораздо больше, чем прошлая. Но вскоре его мирное существование нарушает пара незнакомцев — Франческо со своей сестрой Робертой. Они просят его выполнить последнее задание: убить братьев Вентура, опасных преступников."
"Скажи мне, что это любовь",/series/5131394/,2023,Корея Южная,,,Цифровые релизы,"После смерти отец Щим У-джу оставил семейный бизнес своей любовнице. Преследуемая желанием отомстить женщине, девушка начинает влюбляться в её взрослого сына."
Телекинез,/film/4439706/,2021,Канада,,,Цифровые релизы,
Меня зовут Тихиро,/film/5213797/,2023,Япония,,,Цифровые релизы,
Liaison,/series/4501342/,2023,Франция,,,Цифровые релизы,
The Consultant,/series/4781118/,2023,США,,,Цифровые релизы,
The Reluctant Traveler,/series/5235971/,2023,Великобритания,,,Цифровые релизы,
Die Hart the Movie,/film/5246496/,2023,США,,,Цифровые релизы,
Заговор в Каире,/film/4746564/,2022,Швеция,7.2,949,Цифровые релизы,"Духовный глава современного мусульманского мира неожиданно умирает. Политические элиты начинают борьбу. Их цель — добиться избрания своего кандидата и получить контроль над религиозными институтами страны. Их методы — шпионаж, шантаж, убийство. Адам невольно становится пешкой в этой безжалостной игре. Сможет ли простой сын рыбака переиграть систему или он станет ее жертвой?"
13 минут,/film/1289900/,2021,Канада,,853,Цифровые релизы,"Разрушительный торнадо, накрывший провинциальный городок, навсегда меняет жизнь четырех семей. У жителей есть всего 13 минут на то, чтобы найти себе надежное убежище и выжить в схватке со смертельной стихией."
Хищники,/film/4673172/,2022,Испания,6.4,719,Цифровые релизы,"Городская пара переезжает в небольшую деревню в поисках спокойной жизни в гармонии с природой. Однако им придется столкнуться с жестокостью и недружелюбием местных жителей, что приведет к непредотвратимым последствиям."
Дейзи Джонс и The Six,/series/1323119/,2023,США,,,Цифровые релизы,
Рыцари Готэма,/series/4764668/,2023,США,,,Цифровые релизы,"Тернер Хейз, приемный сын Брюса Уэйна, ошарашен сразу двумя открытиями — его отца убили, а еще он был супергероем Бэтменом. Полиция во главе с прокурором Харви Дентом уверена, что преступление совершили Тернер и дети известных суперзлодеев вроде Джокера. Поэтому подросткам придется объединить усилия, чтобы найти настоящего убийцу."
Тайна в его глазах,/film/428003/,2009,Аргентина,7.4,25 582,Цифровые релизы,"1974 год. Судебный служащий вместе с двумя напарниками приступает к расследованию громкого дела, произошедшего в Буэнос-Айресе. Женщина была изнасилована и жестоко убита прямо у себя дома. Следователи начинают расследование и находят главного подозреваемого. Это событие навсегда изменит жизнь каждого из них."
Экстраполяции,/series/4671626/,2022,США,,,Цифровые релизы,
Чёрный клевер: Меч короля магов,/film/5126555/,2023,Япония,,,Цифровые релизы,
The Last Thing He Told Me,/series/4745262/,2022,США  Режиссёр: Оливия Ньюман,,,Цифровые релизы,
Не стучи,/film/4543706/,2022,Финляндия,,,Цифровые релизы,"Две сестры и брат спустя годы возвращаются в дом своего детства, где бесследно пропали их родители. Они собираются подготовить его к продаже, но в местном лесу притаилось древнее зло, мешающее им исполнить свои планы."
Миссис Дэвис,/series/5010941/,2022,США,,,Цифровые релизы,
Dear Mama,/series/5141355/,2022,США  Режиссёр: Аллен Хьюз,,,Цифровые релизы,
City on Fire,/series/4701982/,2023,США,,,Цифровые релизы,
Парень с того света,/film/4367365/,2022,Великобритания,,,Цифровые релизы,"Обычный одинокий парень Оливер очень хочет найти друзей и любовь, но это непросто, так как его единственный друг — телевизор. Неожиданно Оливер находит друга на кладбище. Популярный при жизни красавчик Митч поможет Оливеру справиться с неуверенностью в себе и даст лучшие советы о покорении любой девушки."
Не засыпай,/film/4949084/,2023,Ирландия,,,Цифровые релизы,"Семеро незнакомцев записываются на, казалось бы, обычное испытание препарата в фармацевтической компании, но вскоре обнаруживают ужасающий побочный эффект: они не могут уснуть. А если они заснут, то умрут. Учреждение внезапно переходит в режим карантина и теперь участники должны не спать еще 24 часа, несмотря на то, что бодрствовали почти пять дней подряд."
Банды Парижа,/film/4959107/,2023,Франция,,,Цифровые релизы,
